# step,rank,entropy,components,curvature,nabla_t
200.000000,16.000000,2.155718,1.000000,85167346193019891403814995774583276338312520689724189845201144113467620033397914262539710754541426241638586384384.000000,242471137229186545383393384629485661278957766342466033327767199217143883002493147029700314898232097062688653312.000000
201.000000,16.000000,2.155718,1.000000,1252117702652051880992118750552071446701549421646456738844048276654207670608111503850837341512830926199739715158016.000000,3564774707042838423234043161599379439294079624829858499025432849841691993047562024493230047935815375147147198464.000000
202.000000,16.000000,2.155718,1.000000,18408448911760512947611896441668453301483635263478503338185162800896801266170214467853112537346884277679400788426752.000000,52408789231022022024639736720187966793327560339067550957569789487690280623664835768626039514403732762264382472192.000000
203.000000,16.000000,2.155718,1.000000,270638287940453703644311089038859821974086023469803361649503742129730252801775348793585270703686584850586178898886656.000000,770506249848063628618793541803050931311987774022453810157233286831312898542791272596321451349543996062705775542272.000000
204.000000,16.000000,2.155718,1.000000,3978884003317518267115233541831925719554882161829105929219096534709366949378316790943246164850674849177220285061922816.000000,11327868668447282611424111184177440712029334022032046916337370345499239589124936878630284342708442914448742614564864.000000
205.000000,16.000000,2.155718,1.000000,58496962985567319258005389893707381647286821063979483751116860988356181972068160358313722469016979946449994630580666368.000000,166540646062488314969089635803744621998265439159374287004025165770994961087903745833519846966501906896376300274974720.000000
206.000000,16.000000,2.155718,1.000000,860013681155343458313395237087029646815392450897599089608059954265657183447009940719901724991510812834516763106479177728.000000,2448455893689901602906267415550457779448372078814902225349854427745369491121014035372713755374567449910585541173182464.000000
207.000000,16.000000,2.155718,1.000000,12643793695159702460548629825821954919744042232125745117027798800043235743764033961709921671766506571283170689663564251136.000000,35996835652016635708015890935635794592165192391251106413246645788991508242313781722648979099987456012795285158764740608.000000
208.000000,16.000000,2.155718,1.000000,185887181227750746740472594166652987471944584090435193295221802632687613099745034437911769918815825573785140994819059875840.000000,529220142667127120285443516244653951291533135555297371584322057955040072331799271164532972352952015132790869251728605184.000000
209.000000,16.000000,2.155718,1.000000,2732885791887993714230089030800817996903399024079299406598606943509963369046541162074257578158668524779097934615973640273920.000000,7780516103839808641632688415428274696000849823563916857004549097048644194380750492797512621409828423498393399354319699968.000000
210.000000,16.000000,2.155718,1.000000,40178481927700026510206860470563763396059594215032776444629900535747386866964558996604413107893029277324313111448447822594048.000000,114387994663135138739220252060396872370023523654609835498725583984031958614942920070740584257941092760373148279379192709120.000000
211.000000,16.000000,2.155718,1.000000,590698087279960767628840899528711273376105938654274438941195626384459927467424639035565839002846234014499773518892557915914240.000000,1681715345191208475384048516269082780923953072927669282578356324505486075132053581882785713059145337517726788070224414375936.000000
