# step,rank,entropy,components,curvature,nabla_t
203.000000,16.000000,2.155718,1.000000,408090521831217799678827049918926973752063517746330799213452211421411530099296365991109082685735065930085316775903232.000000,1161832249794174657348976441592081619089707220064940368995961303816096265327914127816447734830685014444089247006720.000000
204.000000,16.000000,2.155718,1.000000,5999686377587250841742907687021493330610179665509287544365074522977339154157290591305733015793275085932919736414240768.000000,17081085578842150474786869401937695535968030090897411148821477910089511842306950745260811070266411078337630562156544.000000
205.000000,16.000000,2.155718,1.000000,88206500037618690205275128304306757709338175913893001608302307363615475407724018069807105408378772559973999241886433280.000000,251123589108922561465347913712793737742306478694192036023566790088770722682816759054709693203208042369886860053839872.000000
206.000000,16.000000,2.155718,1.000000,1296798892342933205049197892060859469435205827419370654274284218727751620113776655991861349515750070223182573109782773760.000000,3691981795222425007847346727958543824940860158235111971142199970651642204428108616946937156891682065524705891432005632.000000
207.000000,16.000000,2.155718,1.000000,19065345144178755932058367247219210034567084634290660030901770104458709722299036126056672734352805443214252596355590520832.000000,54278969265073024725966071598088495360418232983158169822032101129804317919758288210739337298170769803311676400634691584.000000
208.000000,16.000000,2.155718,1.000000,280295879038827778269513274301300012290121948155798427300103541771693519566803123633121977498541754504566006927716278861824.000000,798001362863164661848513043642633921983963020615759652485688790882574689085272513563445139071991566158391311357083385856.000000
209.000000,16.000000,2.155718,1.000000,4120868476907327278891986617406146360259302677528538787325086899770108934801858430072102896481365959982152291844236727287808.000000,11732097785089342011647854150421199588727214103338580879456380671471894766333788731842043495156897357597520442408382234624.000000
210.000000,16.000000,2.155718,1.000000,60584397680675868831958148061623318993355157112664154153834983630103044914460478471467350843317684822873296641655625041838080.000000,172483563108247262387992978905953832936614729907925905379718929409138296947282549192874029696170238343414148551014292127744.000000
211.000000,16.000000,2.155718,1.000000,890702836767172357984104538433955458244485855462767745657702174969738340667815362561643166008233877178218082311596852924907520.000000,2535827785128730788588951049593736753533851154106233667950020238773187762119691095354016309336847924534778473198520931188736.000000
212.000000,16.000000,2.155718,1.000000,13094981113880748202809098076184215314493444423829591211383380746811664082439713268623871089451908569856962941279775785108897792.000000,37281364320937364698478548725979365978105685171944505591419003897797393127264873374892845774121245783725436339553146769506304.000000
213.000000,16.000000,2.155718,1.000000,192520471805319864481709964709149279823149807932826260681378072630905861780660745073167726465290518673945381685746973144594251776.000000,548105093627739933991619452155977092178658326939990349457547724766919251786553866096013392326654420993510072835052082194022400.000000
214.000000,16.000000,2.155718,1.000000,2830407447081381351325171135189250397781417608393487435211612583717175219055026982175906746466158835002514252106104354527143526400.000000,8058159864206793391446457122676610536353365203566548910398469200824096572303508287589893727439821374268167998992195412297777152.000000
215.000000,16.000000,2.155718,1.000000,41612230851950324523092086508428683495317534978346706260061882023575549770543059537966784234701750674696574309717584252717267681280.000000,118469872203029975701671541424817117096717547567882284291206306528181972431437155809765670059183036178305469368298970411706613760.000000
216.000000,16.000000,2.155718,1.000000,611776851513295224504705664069219558199783179118279091460092589064780902983490759935354186801868864303640014006972296308731460714496.000000,1741726505319341775636668607252415828915586791840588786411009768283509741573893330396422863458240692130979865333950932802684846080.000000
217.000000,16.000000,2.155718,1.000000,8994252612386485651747360966487107180374200479171957405214366589466282592061133460868573494056262867454090118841446655056440807391232.000000,25606604977976631829335695487608957074463889862820828200909878199551390879344384801763215813297735713139417705725806419165608673280.000000
218.000000,16.000000,2.155718,1.000000,132232169058523003868523134680687943832550124278797996992946312816523355226464405146384174883279963654166787364110954004849107878805504.000000,376464511786988548415738261283992685216068078362018315535559874363035899706602511638022663795935462997675389969184288998880681394176.000000
219.000000,16.000000,2.155718,1.000000,1944057754152637776742665084085664057732754775490907734274455597799632582007574347071211966352916968776463566777829137284154182248431616.000000,5534725464611092191101518953215232695852427258326645925197326557068729394309995556407545307218808400871683013535964695763577257066496.000000
220.000000,16.000000,2.155718,1.000000,28581249013676699773412289305061491968486006924012774938384434669627727173938518147883631805923827051429125688812300830546999789112786944.000000,81370713597940965522432824051233033417138480445545466524039502754861713400617504672425004501124446670026148308083646763017699495772160.000000
221.000000,16.000000,2.155718,1.000000,420197287573754110120015561593409166036338764279835072921102963789576201567661179604411182044098593495264079725297373386391641204256145408.000000,1196300173104767340638192516528006618892607531255007968364617954461844155578285831952055701054681889042105840898811746186969142047801344.000000
222.000000,16.000000,2.155718,1.000000,6177678253313088959744860675740745576411682337344660237618719284509209610238622543962140685399194316592886706509126460671018597007390408704.000000,17587827866858773907334734498163791193878382015640495682314598952772430442450133511487339013739597730976996470638013868409610025809477632.000000
223.000000,16.000000,2.155718,1.000000,90823310216524746602898837327996745149196669518239407450618057995914031244910448301039590075581679781338675258293983756242332948171518377984.000000,258573638980846078259025877330902607966638238652313205338286022835486518742372022580240470549996184512140931944228712118186783128476975104.000000
224.000000,16.000000,2.155718,1.000000,1335270847791803632353811155010846507013065146510160968339632571537555375951177977690401518389992398905561111834903506015095754420195774431232.000000,3801511322588199839277256423629536283162665143597487150936704741188807155140569181460415413728797862496060948539155210082615363921015472128.000000
225.000000,16.000000,2.155718,1.000000,19630954131840445475189124414625162832658814475928765297045304246813565803189796799212194980171146328534172172221491135135163187680526980874240.000000,55889256123286820187345331356717208596693330197463966274861061491909742951129179239786959684001731933477223085839798408524834404827706425344.000000
226.000000,16.000000,2.155718,1.000000,288611378555677566250194139322285339870571605330057508671256792116013873343429658275672394389614099103983995144114581173756109427100599371956224.000000,821675561361060625725419061404243084927256554683252959581427702351075031667769455365496413368277508122383944003719150336870251786952689844224.000000
227.000000,16.000000,2.155718,1.000000,4243121718505858881667398421946395510342541672926036458504347844675276192766450552874424875014271679806566469944258444636559059425466213919096832.000000,12080152339970034403629640791443182920749574482049402945083355165496231785559463594825199365353053097459898942959211521044107023417558177939456.000000
228.000000,16.000000,2.155718,1.000000,62381746721680779468714574109337183462162510253613939822534958986757601087354135402651476768923458761285873703280191034224437979757172121460015104.000000,177600609558063210922914799775970899186568246972452135789837173160523627451812579693523612299993596199139217486179076144484873009107989612724224.000000
